ลำดับที่,Client,Location,Project Name,Brand, QT No.,Business Unit,Project Type,Preriod,Remark, Cost to Cost method ©,Final actual margin(%) ,Total Revenue 2021,Actual Cost (A),Final actual margin(จำนวน) ,,
270,GAD (Thailand) Ltd. ,Thailand,Cetaphill Troop Phase 1 (One time charge),Cetaphil,QT21030155,BU1A,Booth & Roadshow,April - July 2021,, 0.00 , 0.00 , 0.00 ,, 0.00 ,,
271,GAD (Thailand) Ltd. ,Thailand,Cetaphill Troop Phase 1 (One time charge),Cetaphil,QT21030155,BU1A,Booth & Roadshow,April - July 21,, 100.00 , 61.97 ," 24,192.00 "," 9,200.00 "," 14,992.00 ",,
272,GAD (Thailand) Ltd. ,Thailand,Cetaphill  (Warehouse ),Cetaphil,QT21030155,BU1A,Booth & Roadshow,July 21-  June 22,, 25.88 , 69.96 ," 26,880.00 "," 8,073.73 "," 18,806.27 ",,
273,GAD (Thailand) Ltd. ,Thailand,Cetaphill Design AW,Cetaphil,QT21050033,BU1A,Event, May 2021,, 0.00 , 100.00 ," 3,360.00 ", 0.00 ," 3,360.00 ",,
274,GAD (Thailand) Ltd. ,Thailand,Cetaphill Design Mock up GSC,Cetaphil,QT21060048,BU1A,Event,on June 21,, 0.00 , 100.00 ," 7,840.00 ", 0.00 ," 7,840.00 ",,
275,GAD (Thailand) Ltd. ,Thailand,Cetaphil Design necktag,Cetaphil,QT21060059,BU1A,Event,13 Jul 21,, 0.00 , 100.00 ," 7,840.00 ",," 7,840.00 ",,
276,GAD (Thailand) Ltd. ,Thailand,Cetaphill Design AW  Facebook,Cockpit,QT21070003,BU1A,Event,16 Jul 21,, 0.00 , 100.00 ," 15,680.00 ",," 15,680.00 ",,
277,GAD (Thailand) Ltd. ,Thailand,Cetaphil Delivery Prize (Cupa 20201),Cetaphil,QT21080012,BU1A,Event,9-17 Aug 21,, 100.00 , 67.27 ," 7,920.00 "," 2,592.00 "," 5,328.00 ",,
278,GAD (Thailand) Ltd. ,Thailand,Prize Delivery Aug 2021,Cetaphil,QT21080003,BU1A,Event,31 Aug 21,, 100.00 , 67.20 ," 74,305.00 "," 24,373.59 "," 49,931.41 ",,
279,GAD (Thailand) Ltd. ,Thailand,Cetaphil Design Magazine,Cetaphil,QT21080008,BU1A,Event,31 Aug 21,, 0.00 , 100.00 ," 7,840.00 ", 0.00 ," 7,840.00 ",,
280,GAD (Thailand) Ltd. ,Thailand,Cetaphill Baby Fair,Cetaphil,QT21100046,BU1A,Booth & Roadshow,Nov - Dec 21,, 100.00 , 34.38 ," 65,116.80 "," 42,726.64 "," 22,390.16 ",,
281,GAD (Thailand) Ltd. ,Thailand,Cetaphil Prize Delivery on Oct 21,Cetaphil,QT21100056,BU1A,Event,Oct - Nov 21,QT20120005, 100.00 , 59.03 ," 156,999.94 "," 64,315.99 "," 92,683.95 ",,
282,GAD (Thailand) Ltd. ,Thailand,Cetaphill Prize Delivery,Cetaphil,QT21110004,BU1A,Event,10 Nov - 17 Dec 21,, 100.00 , 73.81 ," 25,760.00 "," 6,745.75 "," 19,014.25 ",,
283,GAD (Thailand) Ltd. ,Thailand,Cetaphill Prize Delivery (Nov),Cetaphil,QT21110044,BU1A,Event,30 Nov - 17 Dec 21,, 100.00 , 69.30 ," 36,124.00 "," 11,091.22 "," 25,032.78 ",,
284,GAD (Thailand) Ltd. ,Thailand,Delivery (Activity Nov-Dec),Cetaphil,QT21110063,BU1A,Event,Dec 21- Jan 22,, 48.95 , 35.03 ," 39,206.23 "," 25,472.81 "," 13,733.42 ",,
285,"GO (Thailand) Co.,Ltd",Thailand,DEPA MOU Signing design Backqround screen,Shopee,QT21100067,BU1B,Event,8 Nov 21,,, 100.00 ," 4,025.00 ", 0.00 ," 4,025.00 ",,
286, Electrical  (Thailand) Company Limited.,Thailand,Haier Operation Cost_Dec  (QT20110150),Haier ,QT20110150,BU1A,Booth & Roadshow,Dec 20- Jan 21,, 100.00 , 63.91 ," 279,676.73 "," 100,922.90 "," 178,753.83 ",,
287, Electrical  (Thailand) Company Limited.,Thailand,Haier Operation December [additional],Haier,QT20110192,BU1A,Booth & Roadshow,20 Dec 24,บันทึกรายได้ปี 20 ต่ำไป เนื่องจากมี Re   QT ใหม่, 0.00 , 100.00 , 312.00 , 0.00 , 312.00 ,,
288, Electrical  (Thailand) Company Limited.,Thailand,Haier  Operation on Jan 21,Haier ,QT20120062,BU1A,Booth & Roadshow,1-31 Jan 21,, 100.00 , 26.09 ," 147,336.00 "," 108,890.59 "," 38,445.41 ",,
289, Electrical  (Thailand) Company Limited.,Thailand,Haier Operation January (Additional 1),Haier ,QT20120085,BU1A,Booth & Roadshow,On Jan 21,, 100.00 , 40.71 ," 81,088.00 "," 48,074.00 "," 33,014.00 ",,
290, Electrical  (Thailand) Company Limited.,Thailand,Haier Live onTour 2021 (Operation cost ) Jan - Feb 21,Haier ,QT21010074,BU1A,Booth & Roadshow,26 Jan - 28 Feb 21,, 100.00 , 21.38 ," 1,436,265.00 "," 1,129,124.86 "," 307,140.14 ",,
291,"One Co.,Ltd",Thailand,PG Total Household  Operation cost 70 STORE Revise,,1910-IPT-090,,PG & BA,,, 0.00 , 0.00 , 0.00 ,, 0.00 ,,
292,"One Co.,Ltd",Thailand,ทำลายสิ่งของ Dance& Focus,Dance& Focus,QT21010082,BU1A,Booth & Roadshow,on Jan 21,, 100.00 , 64.29 ," 2,240.00 ", 800.00 ," 1,440.00 ",,
294,"One Co.,Ltd",Thailand,Vixol Household @MT 40 Stores Mar-May 2021,Vixol,QT20120015,BU2,PG & BA,Mar- Dec 21,, 100.00 , 31.23 ," 267,573.29 "," 184,014.97 "," 83,558.32 ",,
295,"One Co.,Ltd",Thailand,Vixol Production Toolkits,Vixol,QT21030031,BU2,PG & BA,on Mar,, 100.00 , 49.99 ," 85,680.00 "," 42,850.00 "," 42,830.00 ",,
296,"One Co.,Ltd",Thailand,Additional Cost For Special IP one (Round 2),Vixol,QT21090011,BU3B,Key Account,30 Sep 21,, 100.00 , 17.57 ," 92,198.40 "," 76,000.00 "," 16,198.40 ",,
298,"One Co.,Ltd",Thailand,Vixol Household @GT 20 Stores Apr - May 2021,Vixol,QT20120017,BU2,PG & BA,Mar- Dec 21,, 100.00 , 42.25 ," 204,220.27 "," 117,927.47 "," 86,292.80 ",,
299,"One Co.,Ltd",Thailand,Additional Cost For Special IP one (Round 3),Vixol,QT21090037,BU3B,Key Account,30 Sep 21,"1910-IPT-092,1910-IPT-090", 100.00 , 17.06 ," 185,194.24 "," 153,600.00 "," 31,594.24 ",,
300,"One Co.,Ltd",Thailand,Vixol Household CNY @MT 75 Stores (QT20110122),Vixol,QT20110122,BU2,PG & BA,Jul - Sep 2021,, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,,
301,"One Co.,Ltd",Thailand,Warehouse Vixol on February 2021,Vixol,QT21010099,BU1A,Booth & Roadshow,21 Feb 24,, 100.00 , 77.01 ," 3,696.00 ", 849.86 ," 2,846.14 ",,
302,"One Co.,Ltd",Thailand,Production Game Vixol (QT21030006),Vixol,QT21030006,BU1A,Booth & Roadshow,21 Mar 24,, 100.00 , 83.77 ," 61,600.00 "," 10,000.00 "," 51,600.00 ",,
303,"One Co.,Ltd",Thailand,Vixol Household CNY Addcost @ MT 15 stores (Additional Cost),Vixol,QT21030034,BU2,PG & BA,20 Mar - Dec 21,, 100.00 , 35.71 ," 183,708.00 "," 118,106.03 "," 65,601.97 ",,
304,"One Co.,Ltd",Thailand,Vixol Household CNY Addcost @ GT 25 stores (Additional Cost),Vixol,QT21030039,BU2,PG & BA,1 April - Dec 21,, 100.00 , 33.01 ," 290,701.68 "," 194,746.08 "," 95,955.60 ",,
305,"One Co.,Ltd",Thailand,Ivy Vending machine Ativity,Ivy,QT21030093,BU1A,Event,27 Mar 21,, 100.00 , 81.11 ," 9,900.00 "," 1,870.00 "," 8,030.00 ",,
306,"One Co.,Ltd",Thailand,I.P.One Photographer,Ivy,QT21010102,BU1A,Booth & Roadshow,Mar-Dec 21,, 100.00 , 17.58 ," 14,560.00 "," 12,000.00 "," 2,560.00 ",,
307,"One Co.,Ltd",Thailand,IP one Doation at Medical Service department (Add cost VDO),Vixol,QT21040040,BU1A,Booth & Roadshow,30 Apr 21,, 100.00 , 36.22 ," 7,840.00 "," 5,000.00 "," 2,840.00 ",,
308,"One Co.,Ltd",Thailand,IP one Doation at Medical Service department ,Vixol,QT21040031,BU1A,Booth & Roadshow,30 Apr 21,, 100.00 , 49.27 ," 57,429.12 "," 29,134.37 "," 28,294.75 ",,
309,"One Co.,Ltd",Thailand,I.P. One Transportation Stay Kit ,Vixol,QT21050026,BU1A,Booth & Roadshow,1 May 21,, 100.00 , 79.71 ," 2,464.00 ", 500.00 ," 1,964.00 ",,
310,"One Co.,Ltd",Thailand,"I.P. One Stay Safe, Stay Protected at Cental Plaza",Vixol,QT21050061,BU1A,Booth & Roadshow,7 Jun 21,, 100.00 , 53.36 ," 28,672.00 "," 13,372.50 "," 15,299.50 ",,
311,"One Co.,Ltd",Thailand,"I.P. One Stay Safe, Stay Protected at Cental Plaza ( Additional Cost)",Vixol,QT21060009,BU1A,Booth & Roadshow,8 - 9 Jun 21,, 100.00 , 65.22 ," 18,256.00 "," 6,350.00 "," 11,906.00 ",,
312,"One Co.,Ltd",Thailand,"I.P. One Stay Safe, Stay Protected at Cental Plaza ( Additional Cost Working Day)",Vixol,QT21060030,BU1A,Booth & Roadshow,10 Jun 21,, 100.00 , 82.67 ," 3,808.00 ", 660.00 ," 3,148.00 ",,
313,"One Co.,Ltd",Thailand,Hygiene Shooting VDO ( Additional Cost),Hygiene,QT21060023,BU1A,Booth & Roadshow,9 - 10 Jun 21,, 100.00 , 74.16 ," 9,520.00 "," 2,460.00 "," 7,060.00 ",,
314,"One Co.,Ltd",Thailand,Hygiene Shooting VDO,Hygiene,QT21060019,BU1A,Booth & Roadshow,10 - 11 Jun 21,, 100.00 , 20.70 ," 41,216.00 "," 32,685.00 "," 8,531.00 ",,
315,"One Co.,Ltd",Thailand,Ivy Sampling at Central Vaccination Center Covid -19 Bang Sue (Add Cost),Ivy,QT21060050,BU1A,Booth & Roadshow,22-26 June 21,, 100.00 , 26.67 ," 4,480.00 "," 3,285.00 "," 1,195.00 ",,
316,"One Co.,Ltd",Thailand,Ivy Sampling at Central Vaccination Center Covid -19 Bang Sue (Add Cost Standee),Ivy,QT21060053,BU1A,Booth & Roadshow,22 Jun 21,, 100.00 , 33.04 ," 2,240.00 "," 1,500.00 ", 740.00 ,,
317,"One Co.,Ltd",Thailand,Ivy Sampling at central Vaccination center Covid 19 Bang Sue (Actual),Ivy,QT21060045,BU1A,Booth & Roadshow,22-26 June - Dec 21,, 100.00 , 41.10 ," 112,358.40 "," 66,182.57 "," 46,175.83 ",,
318,"One Co.,Ltd",Thailand,Additional Cost for Special I.P One,Ivy,QT21060041,BU3B,PG & BA,1 Jul 21,, 100.00 , 17.94 ," 67,573.68 "," 55,452.00 "," 12,121.68 ",,
319,"One Co.,Ltd",Thailand,Hygiene Danation at The Mirror Foundation,Hygiene,QT21060014,BU1A,Booth & Roadshow,Aug - Sep 21,, 100.00 , 60.74 ," 19,600.00 "," 7,695.67 "," 11,904.33 ",,
320,"One Co.,Ltd",Thailand,Transportation Ivy Sampling,Ivy,QT21090001,BU1A,Booth & Roadshow,30 Sep 21,, 100.00 , 35.98 ," 13,160.00 "," 8,425.00 "," 4,735.00 ",,
321,"One Co.,Ltd",Thailand,Ivy Shooting VDO (Addtional cost),Ivy,QT21090006,BU1A,Event,Sep- Oct 21,, 100.00 , 44.26 ," 99,000.00 "," 55,183.54 "," 43,816.46 ",,
322,"One Co.,Ltd",Thailand,Ivy VDO Shooting,Ivy,QT21030054,BU1A,Event,Sep- Oct 21,, 100.00 , 48.46 ," 69,850.00 "," 36,000.00 "," 33,850.00 ",,
323,"One Co.,Ltd",Thailand,Hygiene Refill Station PR Day (VDO Additional) (QT21100029),Hygiene,QT21100029,BU1A,Event,22 Oct 21,, 100.00 , 64.29 ," 22,400.00 "," 8,000.00 "," 14,400.00 ",,
324,"One Co.,Ltd",Thailand,Hygiene Refill Station (QT21090067),Hygiene,QT21090067,BU1A,Event,22 Oct 21,, 100.00 , 28.95 ," 137,000.00 "," 97,340.63 "," 39,659.37 ",,
325,"One Co.,Ltd",Thailand,Additional Cost For Special IP one (Round 4),Vixol,QT21100012,BU3B,Key Account,1-31 Oct 21,, 100.00 , 18.13 ," 59,242.40 "," 48,500.00 "," 10,742.40 ",,
326,"One Co.,Ltd",Thailand,Rental Sumsung Galaxy Note 10 Plus,Ivy,QT21110062,BU1A,Event,23-26 Nov 21,, 100.00 , 48.40 ," 8,624.00 "," 4,450.00 "," 4,174.00 ",,
327,"One Co.,Ltd",Thailand,Vixol Caravan_Premium,Vixol,QT21120054,BU1A,Booth & Roadshow,Dec 21 - Jan 22,, 1.80 , 13.33 ," 3,240.87 "," 2,808.75 ", 432.12 ,,
328,"One Co.,Ltd",Thailand,Ivy Caravan Phase 1,Ivy,QT21120064,BU1A,Booth & Roadshow,Dec 21 - June 22,, 0.22 , 25.22 ," 3,710.74 "," 2,775.00 ", 935.74 ,,
329,"One Co.,Ltd",Thailand,Hygiene Booth Caravan Roadshow,Hygiene,QT21120047,BU1A,Booth & Roadshow,Dec 21 - Mar 22,, 0.57 , 26.77 ," 13,820.48 "," 10,121.25 "," 3,699.23 ",,
331,"One Co.,Ltd",Thailand,Vixol Booth Caravan Roadshow ,Vixol,QT21120044.1,BU1B,Booth & Roadshow,Dec 21 - Jan 22,, 3.76 , 25.50 ," 32,585.62 "," 24,277.67 "," 8,307.95 ",,
332,"One Co.,Ltd",Thailand,Vixol CNY @GT 20 Stores ,Vixol,QT21110075,BU2,PG & BA,Dec 21 - Jan 22,, 1.88 , 25.51 ," 10,848.61 "," 8,080.94 "," 2,767.67 ",,
333,"One Co.,Ltd",Thailand,Vixol CNY @ MT 38 Stores ,Vixol,QT21120003,BU2,PG & BA,Dec 21 - Jan 22,, 0.50 , 20.95 ," 8,450.20 "," 6,680.00 "," 1,770.20 ",,
334,KG Corporation Public Company Limited,Thailand,KCG Festive PG MT (Dec 2021 - Jan 2022),Imperial,QT21110014,BU2,PG & BA,1 Dec 21 - 8 Feb 22,, 49.44 , 29.95 ," 1,678,721.36 "," 1,175,904.31 "," 502,817.05 ",,
335,KG Corporation Public Company Limited,Thailand,KCG Additional Cost,Imperial,QT21110033,BU2,PG & BA,Nov  21 - Feb 22,, 46.81 , 15.33 ," 117,036.01 "," 99,094.39 "," 17,941.62 ",,
336,MC (Thailand) Limited.,Thailand,Merchandiser at CVS BKK ,Gatsby,QT20110140,BU2,Merchadiser& Ro,Feb - June 21,, 100.00 , 42.22 ," 1,361,953.99 "," 786,981.48 "," 574,972.51 ",,
337,MC (Thailand) Limited.,Thailand,Merchandiser share services (Jan - April 21),Gatsby,QT20110064,BU2,Merchadiser& Ro,Jan - April 21,, 100.00 , 18.55 ," 974,768.68 "," 793,967.84 "," 180,800.84 ",,
338,MC (Thailand) Limited.,Thailand,Merchandiser Share Service 1 year on May 21,Gatsby,QT20110064.5,BU2,Merchadiser& Ro,on May 21,, 100.00 , (0.35)," 243,692.17 "," 244,546.72 ", (854.55),,
339,MC (Thailand) Limited.,Thailand,Merchandiser Share Service 1 year on June 21,Gatsby,QT20110064.6,BU2,Merchadiser& Ro,1-30 June 21,มี CN คืนลูกค้า, 100.00 , (44.14)," 226,743.39 "," 326,837.04 "," (100,093.65)",,
340,MC (Thailand) Limited.,Thailand,Merchandiser Share Services 1 Year on July 21,Gatsby,QT20110064.7,BU1B,Merchadiser& Ro,1-31 July 21,, 100.00 , (37.23)," 233,770.57 "," 320,801.62 "," (87,031.05)",,
341,MC (Thailand) Limited.,Thailand,Merchandiser share services 1 year on Aug 21,Gatsby,QT20110064.8,BU1B,Merchadiser& Ro,1-31 Aug 21,, 100.00 , (10.77)," 206,869.54 "," 229,143.54 "," (22,274.00)",,
342,MC (Thailand) Limited.,Thailand,Merchandiser Share Service 1 year on Sep  21,Gatsby,QT20110064.9,BU1B,Merchadiser& Ro,1-30 Sep 21,, 100.00 , 21.61 ," 226,994.57 "," 177,934.67 "," 49,059.90 ",,
343,MC (Thailand) Limited.,Thailand,Merchandiser Share Service 1 year on Oct 21,Gatsby,QT20110064.10,BU1B,Merchadiser& Ro,1-31 Oct 21,, 100.00 ,," 235,343.57 "," 192,642.79 ",,,
344,MC (Thailand) Limited.,Thailand,Merchandiser Share Services 1 Year (Noverber 2021),Gatsby,QT20110064.11,BU1B,Merchadiser& Ro,1-30 Nov 21,, 100.00 ,," 226,268.57 "," 196,393.84 ",,,
345,MC (Thailand) Limited.,Thailand,Merchandiser Share Service 1 year on Dec 21,Gatsby,QT20110064.12,BU1B,Merchadiser& Ro,1-31 Dec 21 -Jan 22,, 95.52 , (74.74)," 121,928.52 "," 213,063.92 "," (91,135.40)",,
346,MC (Thailand) Limited.,Thailand,Merchandising Share Serviec  additional The Mall 7 store on July 21,Gatsby,QT21060057,BU1B,Merchadiser& Ro,1-31 July 21,, 0.00 ,, 0.00 ,, 0.00 ,,
347,MC (Thailand) Limited.,Thailand,Merchandising Share Serviec  additional The Mall 7 store on July 21,Gatsby,QT21060057.1,BU1B,Merchadiser& Ro,1-31 July 21,Cost อยู่ Job QT20110064.7, 0.00 , 100.00 ," 8,180.54 ", 0.00 ," 8,180.54 ",,
348,MC (Thailand) Limited.,Thailand,Merchandising Share Serviec  additional The Mall 7 store on Aug 21,Gatsby,QT21060057.2,BU1B,Merchadiser& Ro,1-31 Aug 21,Cost อยู่ Job QT20110064.8, 0.00 , 100.00 ," 7,357.05 ",," 7,357.05 ",,
349,MC (Thailand) Limited.,Thailand,Merchandising Share Serviec  additional The Mall 7 store on Sep 21,Gatsby,QT21060057.3,BU1B,Merchadiser& Ro,1-30 Sep 21,, 100.00 , 37.85 ," 7,521.75 "," 4,675.00 "," 2,846.75 ",,
350,MC (Thailand) Limited.,Thailand,Merchandising Share Serviec  additional The Mall 7 store on Oct 21,Gatsby,QT21060057.4,BU1B,Merchadiser& Ro,1-31 Oct 21,, 100.00 , 69.65 ," 4,886.59 "," 1,483.26 "," 3,403.33 ",,
351,MC (Thailand) Limited.,Thailand,Merchandising Share Service Additional The Mall 7 Stores on Nov 21,Gatsby,QT21060057.5,BU1B,Merchadiser& Ro,1-30 Nov 21,, 100.00 , 78.14 ," 4,817.41 "," 1,052.91 "," 3,764.50 ",,
352,MC (Thailand) Limited.,Thailand,Merchandising Share Serviec  additional The Mall 7 store on Dec 21,Gatsby,QT21060057.6,BU1B,Merchadiser& Ro,1-31 Dec 21,, 0.00 , 100.00 ," 7,315.33 ",," 7,315.33 ",,
353,MC (Thailand) Limited.,Thailand,MANDOM BOOTH 2X2 M ,Gatsby,QT20120057,BU1A,Booth & Roadshow,Mar - April 21,, 100.00 , 50.08 ," 86,735.00 "," 43,300.00 "," 43,435.00 ",,
354,MC (Thailand) Limited.,Thailand,MANDOM BOOTH 2X2 M,Gatsby,QT20120058,BU1A,Booth & Roadshow,Mar - April 21,, 100.00 , 25.28 ," 57,640.00 "," 43,069.62 "," 14,570.38 ",,
355,MC (Thailand) Limited.,Thailand,MANDOM BOOTH 2X2 M ,Gatsby,QT20120059,BU1A,Booth & Roadshow,Mar-Dec 21,, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,,
356,MC (Thailand) Limited.,Thailand,Warehouse Mandom  45 Sq m. ,Mandom,QT20110139,BU2,Booth & Roadshow,April 21- Mar 22,, 0.00 , 52.25 ," 56,862.00 "," 27,150.12 "," 29,711.88 ",,
357,MC (Thailand) Limited.,Thailand,Gastby Booth at Donki,Gatsby,QT21050030,BU1A,Booth & Roadshow,May - June 21,, 100.00 , 26.73 ," 30,415.00 "," 22,284.38 "," 8,130.62 ",,
358,MC (Thailand) Limited.,Thailand,Mandom CVS Commission Hanging GATSBY Body Wipe,Gatsby,QT21060028,BU2,Merchadiser& Ro,1 May 21,, 100.00 , 9.09 , 605.00 , 550.00 , 55.00 ,,
359,MC (Thailand) Limited.,Thailand,Gastby Booth at Donki [Additional],Gatsby,QT21060002,BU1A,Booth & Roadshow,3 Jun 21,, 100.00 , 26.57 ," 2,860.00 "," 2,100.00 ", 760.00 ,,
361,MC (Thailand) Limited.,Thailand,Mandom Merchandising share Service ,Gatsby,QT21100005.1,BU1B,Merchadiser& Ro,Dec 21 - Jan 22,, 0.78 , 10.13 ," 1,914.32 "," 1,720.46 ", 193.86 ,,
363,MN (Thailand) Ltd.,Thailand,Enfa_clinic Visibility ,Enfa,QT21110026.1,BU1B,Key Account,Dec 21 - Jan 22,, 0.04 , 5.56 , 778.30 , 735.00 , 43.30 ,,
364,MN (Thailand) Ltd.,Thailand,Enfa Clinic Booth Sampling ,Enfa,2007MIN024,BU1A,Key Account,20 Dec 24,,, 0.00 , 0.00 , 0.00 , 0.00 ,,
365,MN (Thailand) Ltd.,Thailand,MFGM Day (QT20110074),Enfa,QT20110074,BU1A,Key Account,Nov - Dec 20,,, 0.00 , 0.00 , 0.00 , 0.00 ,,
367, International Operations SA Singapore Branch,Singapore,SK-II Warehouse Rental on Jan 21,SK-II,2006P&G011.7,BU1A,Booth & Roadshow,on Jan 21,, 100.00 , 71.49 ," 2,200.00 ", 627.28 ," 1,572.72 ",,
368, International Operations SA Singapore Branch,Singapore,SK-II Warehouse Rental on Feb 21,SK-II,2006P&G011.8,BU1A,Booth & Roadshow,on Feb 21,, 100.00 , 74.25 ," 2,200.00 ", 566.57 ," 1,633.43 ",,
369, International Operations SA Singapore Branch,Singapore,SK-II Warehouse Rental on Mar 21,SK-II,2006P&G011.9,BU1A,Booth & Roadshow,on Mar 21,, 100.00 , 64.51 ," 2,200.00 ", 780.70 ," 1,419.30 ",,
370, International Operations SA Singapore Branch,Singapore,SK-II Warehouse Rental on April 21,SK-II,2006P&G011.10,BU1A,Booth & Roadshow,on April 21,, 100.00 , 70.08 ," 2,200.00 ", 658.18 ," 1,541.82 ",,
371, International Operations SA Singapore Branch,Singapore,SK-II Warehouse Rental on May 21,SK-II,2006P&G011.11,BU1A,Booth & Roadshow,on May 21,, 100.00 , 71.49 ," 2,200.00 ", 627.28 ," 1,572.72 ",,
372, International Operations SA Singapore Branch,Singapore,SK-II Warehouse Rental (June 2021),SK-II,2006P&G011.12,BU1A,Booth & Roadshow,30 Jun 21,, 100.00 , 67.68 ," 2,200.00 ", 711.03 ," 1,488.97 ",,
373, International Operations SA Singapore Branch,Singapore,SK-II Warehoue Rental ,SK-II,QT21060012,BU1A,Booth & Roadshow,July 21- June 22,, 0.00 , 0.00 , 0.00 ,, 0.00 ,,
374, International Operations SA Singapore Branch,Singapore,SK-II Warehoue Rental [Jul 21],SK-II,QT21060012.1,BU1A,Booth & Roadshow,1-31 Jul 2021,, 100.00 , 68.51 ," 2,160.00 ", 680.12 ," 1,479.88 ",,
375, International Operations SA Singapore Branch,Singapore,SK-II Warehoue Rental [Aug 21],SK-II,QT21060012.2,BU1A,Booth & Roadshow,1-31 Aug 21,, 100.00 , 68.51 ," 2,160.00 ", 680.12 ," 1,479.88 ",,
376, International Operations SA Singapore Branch,Singapore,SK-II Warehoue Rental [Sep 21],SK-II,QT21060012.3,BU1A,Booth & Roadshow,1-30 Sep 21,, 100.00 , 69.53 ," 2,160.00 ", 658.18 ," 1,501.82 ",,
377, International Operations SA Singapore Branch,Singapore,SK-II Warehoue Rental [Oct 21] ,SK-II,QT21060012.4,BU1A,Booth & Roadshow,1-31 Oct 21,, 100.00 , 68.51 ," 2,160.00 ", 680.12 ," 1,479.88 ",,
378, International Operations SA Singapore Branch,Singapore,SK-II Warehoue Rental [Nov 21],SK-II,QT21060012.5,BU1A,Booth & Roadshow,1-30 Nov 21,, 100.00 , 69.53 ," 2,160.00 ", 658.18 ," 1,501.82 ",,
379, International Operations SA Singapore Branch,Singapore,SK-II Warehoue Rental [Dec 21],SK-II,QT21060012.6,BU1A,Booth & Roadshow,1-31 Dec 21,, 100.00 , 68.51 ," 2,160.00 ", 680.12 ," 1,479.88 ",,
380, International Operations SA Singapore Branch,Singapore,SK-II Boys FY2021,SK-II,QT20120010,BU1A,Booth & Roadshow,Jan - Mar 21,, 100.00 , 53.87 ," 3,879,498.15 "," 1,789,691.34 "," 2,089,806.81 ",,
381, International Operations SA Singapore Branch,Singapore,SK-II Boys FY2021,SK-II,QT21020022,BU1A,Booth & Roadshow,April - June 21,, 100.00 , 54.25 ," 3,364,943.58 "," 1,539,590.73 "," 1,825,352.85 ",,
382, International Operations SA Singapore Branch,Singapore,SK-II Outreach FY2122 ,SK-II,QT21050073,BU1A,Booth & Roadshow,July - Sep 21,, 0.00 , 0.00 , 0.00 ,, 0.00 ,,
383, International Operations SA Singapore Branch,Singapore,SK-II Outreach FY2122 [Jul 21],SK-II,QT21050073.1,BU1A,Booth & Roadshow,1-31 Jul 2021,, 100.00 , 63.99 ," 504,846.00 "," 181,809.62 "," 323,036.38 ",,
384, International Operations SA Singapore Branch,Singapore,SK-II Outreach FY2122 [Aug 21],SK-II,QT21050073.2,BU1A,Booth & Roadshow,1-31 Aug 21,, 100.00 , 57.70 ," 185,178.00 "," 78,338.75 "," 106,839.25 ",,
385, International Operations SA Singapore Branch,Singapore, SK-II Outreach FY2122 [Sep 21],SK-II,QT21050073.3,BU1A,Booth & Roadshow,1-30 Sep 21,, 100.00 , 41.12 ," 62,405.97 "," 36,743.17 "," 25,662.80 ",,
386, International Operations SA Singapore Branch,Singapore,SK-II Outreach FY2122 (Oct 21),SK-II,QT21090053,BU1A,Booth & Roadshow,1 Oct - 31 Dec 21,,, 0.00 ,,,,,
387, International Operations SA Singapore Branch,Singapore,SK-II Outreach FY2122 (Oct 21) ,SK-II,QT21090053.1,BU1A,Booth & Roadshow,1-31 Oct 21,, 100.00 , 57.54 ," 854,604.00 "," 362,880.86 "," 491,723.14 ",,
388, International Operations SA Singapore Branch,Singapore,SK-II Outreach FY2122 (Nov 21),SK-II,QT21090053.2,BU1A,Booth & Roadshow,1-30 Nov 21,, 100.00 , 47.12 ," 807,732.00 "," 427,103.03 "," 380,628.97 ",,
389, International Operations SA Singapore Branch,Singapore,SK-II Outreach FY2122 (Dec 21),SK-II,QT21090053.3,BU1A,Booth & Roadshow,1-31 Dec 21,, 112.84 , 46.47 ," 2,799,497.16 "," 1,498,506.45 "," 1,300,990.71 ",,
390, Trading (Thailand) Ltd.,Thailand,Recruit graphic ,Oral-B,2001-P&G-005,BU1A,Booth & Roadshow,5 Dec 20 - 4 Feb 21,, 48.39 , 81.79 ," 54,470.11 "," 9,919.36 "," 44,550.75 ",,
391, Trading (Thailand) Ltd.,Thailand,Downy FE  73 Stores  FY 2021 (Dec 20) (2005-P&G-019.6),Downy,2005-P&G-019.6,BU2,PG & BA,20 Dec 24,,, 0.00 , 0.00 , 0.00 , 0.00 ,,
393, Trading (Thailand) Ltd.,Thailand,PAMPERS Warehouse Rental on Jan 21,PAMPERS,2006P&G006.7,BU1A,Booth & Roadshow,on Jan 21,, 100.00 , 71.49 ," 2,200.00 ", 627.28 ," 1,572.72 ",,
394, Trading (Thailand) Ltd.,Thailand,PAMPERS Warehouse Rental on Feb 21,PAMPERS,2006P&G006.8,BU1A,Booth & Roadshow,on Feb 21,, 100.00 , 74.25 ," 2,200.00 ", 566.57 ," 1,633.43 ",,
395, Trading (Thailand) Ltd.,Thailand,PAMPERS Warehouse Rental on Mar 21,PAMPERS,2006P&G006.9,BU1A,Booth & Roadshow,on Mar 21,, 100.00 , 64.51 ," 2,200.00 ", 780.70 ," 1,419.30 ",,
