ลำดับที่,Business Unit,No.,Business Code,Status,Job,QT No.,Project Name,Client/Owner,Remark Status,Start date,End date,Year,Sale Name,Quater,Project,Project Name2,Customer Status,Brand/Product, Budget Amount ,Business Type,add by,หมวดธุรกิจ,add date,edit by,edit date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Amount,,,,,,,
223,BU 1.1,195,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21030101,CRV - Logistic small counter at Big C ราชดำริ,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,24-03-21,31-03-21,2021,Piriya Limteerayos,Q1,14702021,CRV - Logistic small counter at Big C ราชดำริ,Existing,L'Oreal," 4,364.15 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,18-03-21,RAWISARA,30-03-21,,," 5,832.00 ",,,,,,,,,," 5,832.00 ",,,,,,,
224,BU 1.1,197,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21030114,Cockpit FC - Venue fee จ.กำแพงเพชร,"BS (Thailand) Co., Ltd.",Got PO,01-04-21,01-04-21,2021,Piriya Limteerayos,Q2,20002021,Cockpit FC - Venue fee จ.กำแพงเพชร,Existing,Bridgestone," 15,000.00 ",ยานยนต์,RAWISARA,ยานยนต์,24-03-21,RAWISARA,02-04-21,,,," 16,500.00 ",,,,,,,,," 16,500.00 ",,,,,,,
225,BU 1.1,198,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT21030116,NIVEA Lucky campaign,"BD (Thailand) Co.,Ltd",Got PO,01-08-21,31-08-21,2021,Piriya Limteerayos,Q3,36802021,NIVEA Lucky campaign,Existing,NIVEA," 809,600.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,บำรุงผิวกาย,24-03-21,Piriya,30-04-21,,,,," 3,254.58 ",, (166.40)," 885,452.95 "," 144,971.87 ",,,," 1,033,513.00 ",,,,,,,
226,BU 1.2,293,5,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Merchadiser& Ro,QT21030117,Earth Merchandiser Training,บริษัท อออ้าง (ประเทศไทย) จำกัด,Approved,02-04-21,04-04-21,2021,Piriya Limteerayos,Q2,16102021,Earth Merchandiser Training,Existing,Earth ," 1,765.00 ",ของใช้ในครัวเรือนและสำนักงาน,Jutamas,กำจัดแมลง,24-03-21,Arisa,06-04-21,,," 1,853.25 ",,,,,,,,,," 1,853.25 ",,,,,,,
227,BU 1.1,199,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21030121,Cockpit - Re inkjet Vinly for Stand cut out 70 stores(April),บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Approved,05-04-21,11-04-21,2021,Piriya Limteerayos,Q2,18602021,Cockpit - Re inkjet Vinly for Stand cut out 70 stores(April),Existing,Bridgestone," 140,368.75 ",ยานยนต์,RAWISARA,ยานยนต์,25-03-21,RAWISARA,22-04-21,,,," 206,250.00 ",,,,,,,,," 206,250.00 ",,,,,,,
228,BU 1.1,200,3,Cancelled,Logistic,QT21030127,MBL&LMU Logistic @Mixt Chatuchak,บริษัท ครีม (ประเทศไทย) จำกัด,Cancelled,29-03-21,29-03-21,2021,Piriya Limteerayos,Q1,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,25-03-21,RAWISARA,26-03-21,,,,,,,,,,,,," 1,458.00 ",,,,,,,
229,BU 1.1,201,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21030128,ACD - Counter production,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,29-03-21,31-03-21,2021,Piriya Limteerayos,Q1,16702021,ACD - Counter production,Existing,L'Oreal," 4,880.19 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,25-03-21,RAWISARA,30-03-21,,," 7,290.00 ",,,,,,,,,," 7,290.00 ",,,,,,,
230,BU 1.1,202,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21030129,LRP Booth Animation Logistic(Apr),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,02-04-21,04-04-21,2021,Piriya Limteerayos,Q2,16902021,LRP Booth Animation Logistic(Apr),Existing,La Roche-Posay," 14,260.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เวชสำอางค์,26-03-21,RAWISARA,06-04-21,,,," 19,980.00 ",,,,,,,,," 19,980.00 ",,,,,,,
231,BU 1.1,203,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21030136,Cockpit FC - Activity Support จ.ชัยภูมิ,"BS (Thailand) Co., Ltd.",Got PO,06-04-21,11-04-21,2021,Piriya Limteerayos,Q2,19002021,Cockpit FC - Activity Support จ.ชัยภูมิ,Existing,Bridgestone," 23,930.00 ",ยานยนต์,RAWISARA,ยานยนต์,29-03-21,RAWISARA,16-04-21,,,," 30,965.00 ",,,,,,,,," 30,965.00 ",,,,,,,
232,BU 1.1,204,2,Cancelled,Booth & Roadshow,QT21030137,Cockpit FC - Booth Activity จ.ชัยภูมิ,"BS (Thailand) Co., Ltd.",Cancelled,02-04-21,06-04-21,2021,Piriya Limteerayos,Q2,,,Existing,Bridgestone, 0.00 ,ยานยนต์,RAWISARA,ยานยนต์,29-03-21,RAWISARA,02-04-21,,,,,,,,,,,,," 60,000.00 ",,,,,,,
233,BU 1.1,205,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21030138,Cockpit FC - Activity Support จ.ปทุมธานี,"BS (Thailand) Co., Ltd.",Got PO,08-04-21,11-04-21,2021,Piriya Limteerayos,Q2,18902021,Cockpit FC - Activity Support จ.ปทุมธานี,Existing,Bridgestone," 25,840.62 ",ยานยนต์,RAWISARA,ยานยนต์,30-03-21,RAWISARA,16-04-21,,,," 30,965.00 ",,,,,,,,," 30,965.00 ",,,,,,,
234,BU 1.1,206,2,Cancelled,Booth & Roadshow,QT21030141,Bridgestone - SD Survey Caravan 2021,"BS (Thailand) Co., Ltd.",Cancelled,25-05-21,30-06-21,2021,Piriya Limteerayos,Q2,,,Existing,Bridgestone, 0.00 ,ยานยนต์,RAWISARA,ยานยนต์,30-03-21,RAWISARA,23-04-21,,,,,,,,,,,,," 1,093,510.00 ",,,,,,,
235,BU 1.1,207,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21030142,Eucerin Logistic Hospital [April],"BD (Thailand) Co.,Ltd",Got PO,15-04-21,05-05-21,2021,Piriya Limteerayos,Q2,35302021,Eucerin Logistic Hospital [April],Existing,Eucerin," 66,285.30 ",ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,เวชสำอางค์,30-03-21,WATCHAREE,20-04-21,,,," 76,748.48 "," 7,105.28 ",,,,,,,," 83,853.76 ",,,,,,,
236,BU 1.1,208,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21030143,Eucerin Logistic Retail [April],"BD (Thailand) Co.,Ltd",Got PO,15-04-21,05-05-21,2021,Piriya Limteerayos,Q2,35402021,Eucerin Logistic Retail [April],Existing,Eucerin," 161,628.25 ",ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,เวชสำอางค์,30-03-21,WATCHAREE,20-04-21,,,," 190,500.08 "," 16,823.12 ",,,,,,,," 207,323.20 ",,,,,,,
237,BU 1.1,209,3,Cancelled,Logistic,QT21030144,NIVEA Logistic,"BD (Thailand) Co.,Ltd",Cancelled,01-06-21,31-12-21,2021,Piriya Limteerayos,Q2,,,Existing,NIVEA, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,บำรุงผิวกาย,30-03-21,Piriya,03-05-21,,,,,,,,,,,,," 2,760,000.00 ",,,,,,,
238,BU 1.1,210,2,Cancelled,Booth & Roadshow,QT21030146,Bridgestone - Storefront booth จ.เชียงใหม่,"BS (Thailand) Co., Ltd.",Cancelled,02-09-21,03-09-21,2021,Piriya Limteerayos,Q3,19602021,Bridgestone - Storefront booth จ.เชียงใหม่,Existing,Bridgestone," 34,100.00 ",ยานยนต์,RAWISARA,ยานยนต์,31-03-21,RAWISARA,29-04-21,,,," 5,946.79 ",,,,," 42,111.21 ",,,," 48,058.00 ",,,,,,,
239,BU 1.1,211,2,Cancelled,Booth & Roadshow,QT21030147,Bridgestone - Storefront booth จ.ชลบุรี,"BS (Thailand) Co., Ltd.",Cancelled,05-08-21,06-08-21,2021,Piriya Limteerayos,Q3,19202021,Bridgestone - Storefront booth จ.ชลบุรี,Existing,Bridgestone," 23,370.00 ",ยานยนต์,RAWISARA,ยานยนต์,31-03-21,RAWISARA,29-04-21,,,, 629.65 ,,,," 32,765.35 ",,,,," 33,395.00 ",,,,,,,
240,BU 1.1,212,2,Cancelled,Booth & Roadshow,QT21030148,Bridgestone - Storefront booth จ.สงขลา,"BS (Thailand) Co., Ltd.",Cancelled,09-08-21,10-08-21,2021,Piriya Limteerayos,Q3,19302021,Bridgestone - Storefront booth จ.สงขลา,Existing,Bridgestone," 32,090.00 ",ยานยนต์,RAWISARA,ยานยนต์,31-03-21,RAWISARA,29-04-21,,,,,,,," 45,882.00 ",,,,," 45,882.00 ",,,,,,,
241,BU 1.1,213,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT21030149,Bridgestone Certificated,"BS (Thailand) Co., Ltd.",Got PO,30-04-21,30-04-21,2021,Piriya Limteerayos,Q2,33602021,Bridgestone Certificated,Existing,Bridgestone," 13,653.45 ",ยานยนต์,RAWISARA,ยานยนต์,31-03-21,RAWISARA,30-04-21,,,, 265.27 ," 18,229.73 ",,,,,,,," 18,495.00 ",,,,,,,
242,BU 1.1,214,1,Cancelled,Event,QT21030151,NIVEA TV Tie-in [ข่าวใส่ไข่],"BD (Thailand) Co.,Ltd",Cancelled,08-04-21,15-04-21,2021,Piriya Limteerayos,Q2,,,Existing,NIVEA, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,NUTSUDA,บำรุงผิวกาย,31-03-21,Piriya,07-04-21,,,,,,,,,,,,," 100,000.00 ",,,,,,,
243,BU 1.1,215,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT21030153,MAYBELLINE - Big C JBP 2021,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,07-04-21,08-04-21,2021,Piriya Limteerayos,Q2,19702021,MAYBELLINE - Big C JBP 2021,Existing,L'Oreal," 15,706.71 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,01-04-21,RAWISARA,16-04-21,,,," 18,792.00 ",,,,,,,,," 18,792.00 ",,,,,,,
244,BU 1.1,216,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21030154,MBL&LMU booth at Sense Pinklao,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,05-04-21,05-04-21,2021,Piriya Limteerayos,Q2,19802021,MBL&LMU booth at Sense Pinklao,Existing,L'Oreal," 3,779.40 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,01-04-21,RAWISARA,26-04-21,,,," 5,400.00 ",,,,,,,,," 5,400.00 ",,,,,,,
245,BU 1.1,217,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT21040001,MAYBELLINE - Big C JBP 2021(Additional),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,08-04-21,08-04-21,2021,Piriya Limteerayos,Q2,25202021,MAYBELLINE - Big C JBP 2021(Additional),Existing,L'Oreal," 10,066.32 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,05-04-21,RAWISARA,16-04-21,,,," 17,064.00 ",,,,,,,,," 17,064.00 ",,,,,,,
246,BU 1.1,218,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT21040002,L'OREAL - Big C JBP 2021,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,08-04-21,08-04-21,2021,Piriya Limteerayos,Q2,25102021,L'OREAL - Big C JBP 2021,Existing,L'Oreal," 12,209.68 ",ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,05-04-21,RAWISARA,16-04-21,,,," 19,062.00 ",,,,,,,,," 19,062.00 ",,,,,,,
247,BU 1.1,221,1,IC. APPROVED & AWAITING  PROCESS PROJECTS,Event,QT21040021,Enfa_Nurse connection project,MN (Thailand) Ltd.,Awarded & Waiting PO,16-02-22,14-03-22,2022,Piriya Limteerayos,Q1,,,Existing,Enfa, 0.00 ,อาหารและเครื่องดื่ม,Piriya,เครื่องดื่ม,16-04-21,Piriya,03-05-21,,,,,,,,,,,,," 2,486,030.80 ",,,,,,,
248,BU 1.1,222,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21040023,Cockpit owner - รถแห่ 15 สาขา (May),บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Got PO,23-04-21,26-04-21,2021,Piriya Limteerayos,Q2,34802021,Cockpit owner - รถแห่ 15 สาขา (May),Existing,Bridgestone," 117,077.30 ",ยานยนต์,RAWISARA,ยานยนต์,19-04-21,RAWISARA,26-04-21,,,," 183,824.50 "," 50,475.50 ",,,,,,,," 234,300.00 ",,,,,,,
249,BU 3.1,297,6,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Key Account,QT21040025,Eucerin internal training,"BD (Thailand) Co.,Ltd",Approved,27-04-21,28-04-21,2021,Piriya Limteerayos,Q2,35202021,Eucerin internal training,Existing,Eucerin," 10,309.28 ",ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,เวชสำอางค์,19-04-21,,,,,," 11,340.21 ",,,,,,,,," 11,340.21 ",,,,,,,
250,BU 1.1,223,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21040026,Cockpit FC - Activity support จ.นครปฐม และสมุทรสาคร,"BS (Thailand) Co., Ltd.",Got PO,04-05-21,09-05-21,2021,Piriya Limteerayos,Q2,35102021,Cockpit FC - Activity support จ.นครปฐม และสมุทรสาคร,Existing,Bridgestone," 142,876.75 ",ยานยนต์,RAWISARA,ยานยนต์,19-04-21,RAWISARA,29-04-21,,,," 4,532.32 "," 179,717.68 ",,,,,,,," 184,250.00 ",,,,,,,
251,BU 1.1,224,1,Cancelled,Event,QT21040028,BSN/BFP Annual Meeting 2021(Online),"BS (Thailand) Co., Ltd.",Cancelled,22-07-21,23-07-21,2021,Piriya Limteerayos,Q3,,,Existing,Bridgestone, 0.00 ,ยานยนต์,RAWISARA,ยานยนต์,21-04-21,RAWISARA,26-04-21,,,,,,," 270,589.00 ",,,,,," 270,589.00 ",,,,,,,
252,BU 1.1,299,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT21040029,BDF - Golden Owl 3D Printing,"BD (Myanma) Co.,Ltd",Got PO,01-06-21,31-07-21,2021,Piriya Limteerayos,Q2,,,Existing,Beiersdorf,,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เวชสำอางค์,26-04-21,Piriya,17-05-21,,,,,," 1,238.54 ",," 16,176.79 ",,,,," 118,150.09 ",,,,,,,
253,BU 1.1,226,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21040030,Cockpit owner - รถแห่ 14 สาขา (Additional),บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Got PO,25-04-21,27-04-21,2021,Piriya Limteerayos,Q2,35602021,Cockpit owner - รถแห่ 14 สาขา (Additional),Existing,Bridgestone," 98,181.90 ",ยานยนต์,RAWISARA,ยานยนต์,22-04-21,RAWISARA,26-04-21,,,," 126,530.10 "," 26,369.90 ",,,,,,,," 152,900.00 ",,,,,,,
254,BU 1.1,227,1,Cancelled,Event,QT21040032,NIVEA_Rapper-Line CRM,"BD (Thailand) Co.,Ltd",Cancelled,01-06-21,31-08-21,2021,Piriya Limteerayos,Q2,,,Existing,NIVEA, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,บำรุงผิวกาย,23-04-21,Piriya,03-05-21,,,,,,,,,,,,," 4,362,711.00 ",,,,,,,
255,BU 1.1,228,3,Cancelled,Logistic,QT21040033,NIVEA_Logistic_set up@Tesco,"BD (Thailand) Co.,Ltd",Cancelled,01-06-21,30-06-21,2021,Piriya Limteerayos,Q2,,,Existing,NIVEA, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,บำรุงผิวกาย,23-04-21,Piriya,23-04-21,,,,,,,,,,,,," 196,256.41 ",,,,,,,
256,BU 1.1,229,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT21040034,Eucerin Online Internal,"BD (Thailand) Co.,Ltd",Got PO,01-06-21,01-06-21,2021,Piriya Limteerayos,Q2,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,เวชสำอางค์,26-04-21,RAWISARA,26-04-21,,,,," 20,735.21 "," 24,861.60 "," 15,359.93 ",,,,,," 60,956.74 ",,,,,,,
257,BU 1.1,230,2,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Booth & Roadshow,QT21040035,Cockpit FC - Activity support จ.ภูเก็ต,"BS (Thailand) Co., Ltd.",Got PO,10-05-21,14-05-21,2021,Piriya Limteerayos,Q2,36502021,Cockpit FC - Activity support จ.ภูเก็ต,Existing,Bridgestone," 55,934.90 ",ยานยนต์,RAWISARA,ยานยนต์,26-04-21,RAWISARA,30-04-21,,,, 761.86 ," 75,138.14 ",,,,,,,," 75,900.00 ",,,,,,,
258,BU 1.1,231,2,Cancelled,Booth & Roadshow,QT21040043,DG_Warehouse (June - Dec 2021),บริษัท พี เฮลธ์ (ไทยแลนด์) จำกัด,Cancelled,01-06-21,31-12-21,2021,Piriya Limteerayos,Q2,,,New,DG, 0.00 ,อาหารและเครื่องดื่ม,Piriya,เครื่องดื่ม,27-04-21,Piriya,03-05-21,,,,,,,,,,,,," 14,784.00 ",,,,,,,
259,BU 1.1,232,1,Cancelled,Event,QT21040044,L'OREAL Sofa rental,บริษัท ครีม (ประเทศไทย) จำกัด,Cancelled,24-05-21,02-06-21,2021,Piriya Limteerayos,Q2,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,28-04-21,RAWISARA,28-04-21,,,,,,,,,,,,," 67,176.00 ",,,,,,,
260,BU 1.1,233,1,Cancelled,Event,QT21040046,Ovaltine 7th Key Customer Conference 2021,AB  (Thailand) Ltd,Cancelled,02-09-21,04-09-21,2021,Piriya Limteerayos,Q3,,,Existing,Ovaltine, 0.00 ,อาหารและเครื่องดื่ม,RAWISARA,เครื่องดื่ม,29-04-21,,,,,,,,,,,,,,," 6,500,000.00 ",,,,,,,
261,BU 1.1,234,3,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects,Logistic,QT21040048,Warehouse L'OREAL Professional (Jul - Dec 2021)50 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-07-21,31-12-21,2021,Piriya Limteerayos,Q3,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,30-04-21,RAWISARA,30-04-21,,,,,,,,,,,,, 0.00 ,,,,,,,
262,BU 1.1,235,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21040048.1,Warehouse L'oreal professional(JULY 2021)50 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-07-21,31-07-21,2021,Piriya Limteerayos,Q3,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,30-04-21,RAWISARA,30-04-21,,,,,,," 10,800.00 ",,,,,," 10,800.00 ",,,,,,,
263,BU 1.1,236,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21040048.2,Warehouse L'oreal professional(AUGUST 2021)50 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-08-21,31-08-21,2021,Piriya Limteerayos,Q3,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,30-04-21,RAWISARA,30-04-21,,,,,,,," 10,800.00 ",,,,," 10,800.00 ",,,,,,,
264,BU 1.1,237,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21040048.3,Warehouse L'oreal professional(SEPTEMBER 2021)50 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-09-21,30-09-21,2021,Piriya Limteerayos,Q3,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,30-04-21,RAWISARA,30-04-21,,,,,,,,," 10,800.00 ",,,," 10,800.00 ",,,,,,,
265,BU 1.1,238,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21040048.4,Warehouse L'oreal professional(OCTORBER 2021)50 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-10-21,31-10-21,2021,Piriya Limteerayos,Q4,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,30-04-21,RAWISARA,30-04-21,,,,,,,,,," 10,800.00 ",,," 10,800.00 ",,,,,,,
266,BU 1.1,239,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21040048.5,Warehouse L'oreal professional(NOVEMBER 2021)50 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-11-21,30-11-21,2021,Piriya Limteerayos,Q4,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,30-04-21,RAWISARA,30-04-21,,,,,,,,,,," 10,800.00 ",," 10,800.00 ",,,,,,,
267,BU 1.1,240,3,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects,Logistic,QT21040048.6,Warehouse L'oreal professional(DECEMBER 2021)50 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-12-21,31-12-21,2021,Piriya Limteerayos,Q4,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เสริมความงาม,30-04-21,RAWISARA,30-04-21,,,,,,,,,,,," 10,800.00 "," 10,800.00 ",,,,,,,
268,BU 1.1,242,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050001,Eucerin Logistic Hospital [May],"BD (Thailand) Co.,Ltd",Got PO,15-05-21,05-06-21,2021,Piriya Limteerayos,Q2,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,SALINLAWAN,เวชสำอางค์,30-04-21,SALINLAWAN,30-04-21,,,,," 80,697.02 "," 3,156.74 ",,,,,,," 83,853.76 ",,,,,,,
269,BU 1.1,,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050002,Eucerin Logistic Hospital [Jun],"BD (Thailand) Co.,Ltd",Got PO,15-06-21,05-07-21,2021,Piriya Limteerayos,Q2,,,,Eucerin,,ของใช้ส่วนตัวและเวชภัณฑ์,,เวชสำอางค์,,,,,,,,," 46,724.65 "," 37,129.11 ",,,,,," 83,853.76 ",,,,,,,
270,BU 1.1,244,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050003,Eucerin Logistic Hospital [Jul],"BD (Thailand) Co.,Ltd",Got PO,15-07-21,05-08-21,2021,Piriya Limteerayos,Q3,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,SALINLAWAN,เวชสำอางค์,30-04-21,,,,,,,,," 43,334.74 "," 40,519.02 ",,,,," 83,853.76 ",,,,,,,
271,BU 1.1,245,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050004,Eucerin Logistic Hospital [Aug],"BD (Thailand) Co.,Ltd",Got PO,15-08-21,05-09-21,2021,Piriya Limteerayos,Q3,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,SALINLAWAN,เวชสำอางค์,30-04-21,,,,,,,,,," 3,764.54 "," 80,089.22 ",,,," 83,853.76 ",,,,,,,
272,BU 1.1,246,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050005,Eucerin Logistic Hospital [Sep],"BD (Thailand) Co.,Ltd",Got PO,15-09-21,05-10-21,2021,Piriya Limteerayos,Q3,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,SALINLAWAN,เวชสำอางค์,30-04-21,,,,,,,,,,," 83,853.76 ",,,," 83,853.76 ",,,,,,,
273,BU 1.1,247,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050006,Eucerin Logistic Hospital [Octl],"BD (Thailand) Co.,Ltd",Got PO,15-10-21,05-11-21,2021,Piriya Limteerayos,Q4,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,SALINLAWAN,เวชสำอางค์,30-04-21,,,,,,,,,,,," 83,853.76 ",,," 83,853.76 ",,,,,,,
274,BU 1.1,248,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050007,Eucerin Logistic Hospital [Nov],"BD (Thailand) Co.,Ltd",Got PO,15-11-21,05-12-21,2021,Piriya Limteerayos,Q4,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,SALINLAWAN,เวชสำอางค์,30-04-21,,,,,,,,,,,,," 83,853.76 ",," 83,853.76 ",,,,,,,
275,BU 1.1,249,3,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects,Logistic,QT21050008,Eucerin Logistic Hospital [Dec],"BD (Thailand) Co.,Ltd",Got PO,15-12-21,05-01-22,2021,Piriya Limteerayos,Q4,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,SALINLAWAN,เวชสำอางค์,30-04-21,,,,,,,,,,,,,," 83,853.76 "," 83,853.76 ",,,,,,,
276,BU 1.1,250,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050009,Eucerin Logistic Retail [May],"BD (Thailand) Co.,Ltd",Got PO,15-05-21,05-06-21,2021,Piriya Limteerayos,Q2,,,Existing,Eucerin, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,RAWISARA,เวชสำอางค์,30-04-21,,,,,,," 192,487.02 "," 14,836.18 ",,,,,,," 207,323.20 ",,,,,,,
277,BU 1.1,,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT21050010,Eucerin Logistic Retail [Jun],"BD (Thailand) Co.,Ltd",Got PO,15-06-21,05-07-21,2021,Piriya Limteerayos,Q2,,,,Eucerin,,ของใช้ส่วนตัวและเวชภัณฑ์,,เวชสำอางค์,,,,,,,,," 110,891.77 "," 96,431.43 ",,,,,," 207,323.20 ",,,,,,,
